NAME	adipose.stem.cells	B.cells	CD4..T.cells	CD8..T.cells	chondrocytes	endothelial.cells	eosinophils	erythroblasts	fibroblasts	keratinocytes	macrophages	mesenchymal.stromal.cells	monocytes	myeloid.dendritic.cells	neutrophils	NK.cells	osteoblasts	pc.adipocytes	plasmacytoid.dendritic.cells	platelets	sc.adipocytes	smooth.muscle.cells
CCL5	28.48288562	70.68330264	1704.205817	6140.646221	30.60944922	22.30907984	16.48328468	21.70905378	22.95868548	35.72833122	174.5354818	24.44152713	147.2285674	509.6813889	74.86305787	9238.198685	23.92678096	124.467637	38.25145277	11887.70867	72.42807549	38.50634331
GIMAP1	20.19564437	40.23847635	2188.568678	2008.655905	14.03077713	649.1773233	20.94005872	20.80879787	17.6316034	17.69166448	233.1409015	15.10190302	1419.726246	125.0517121	32.22116728	2041.925893	12.78702969	2721.808611	26.274361	757.6436142	3238.980757	17.17164957
PRSS33	88.88795869	172.4932818	238.4623676	316.4620277	133.827562	105.1948573	16872.4692	276.6750334	107.2366689	65.83390807	155.3627583	93.48093443	139.8527269	205.1456593	611.42807	148.9585767	101.003158	52.64114962	151.2957103	134.2675789	57.24518356	113.7941003
GAPT	14.20391456	1973.162419	136.4921336	39.58311202	13.0179725	14.116819	4854.504177	16.48334593	13.20380154	13.76414075	19.15389521	14.52439973	1080.486473	371.5367569	1195.596454	15.30750809	12.90158945	28.93208538	2486.515453	706.3038163	18.99933296	13.34698339
CLEC12A	19.80428959	36.30541791	303.1941045	40.80040437	22.07663693	18.07255528	3356.229	25.88008516	31.99152305	18.38296926	696.2295671	19.10105252	3204.325398	1190.761242	913.64175	65.46365863	16.48265638	151.7000858	184.7255762	147.2285674	162.5679392	22.51210109
SCGB1C1	21.14188942	21.34037049	20.05139045	23.69439483	28.71304096	23.89398491	17.79383321	26.79565096	26.18742447	23.69832424	29.90549949	22.2896959	24.7027796	26.18742447	23.41911824	21.04600537	24.28750383	22.13937292	24.41458138	1671.804049	22.61467865	29.06628044
IRF6	21.09381232	21.55294067	19.36289044	22.5444777	29.16306713	161.215532	26.71853392	43.96750167	30.6072071	4905.168458	23.58258413	22.15446679	20.37380068	25.2121735	31.92747829	41.43011044	17.99880396	21.34037049	23.97820751	19.85141607	22.41641102	31.5964807
SLAMF6	57.57924814	1232.63691	417.4026828	2651.105743	72.70863187	58.06380494	358.1937886	273.8379026	44.97987581	56.6369001	186.067107	46.73265668	150.1269257	61.64028345	187.2054868	1354.784798	92.55863781	40.49554302	71.67137996	134.2660523	39.13764136	53.87091171
KCNE4	491.0135097	46.61565069	30.49540272	44.7142176	463.5089721	36.91238898	46.40289628	66.71180172	49.41447224	36.45320247	28.51758413	120.9063962	34.77002759	47.52162077	64.56213654	29.78909891	1404.325263	37.51047524	32.56363125	22.61251458	35.94799179	1269.381586
CD300LG	45.6099715	62.39148236	52.22251489	50.3132444	44.35563471	40.34630696	90.93536411	79.62275191	26.07119521	44.00197938	49.57387216	36.59980112	49.7530742	57.89859946	57.89618788	73.25495994	52.12941036	3928.442744	57.64455215	58.59297384	4176.941776	44.42570098
TAGAP	37.62773267	565.985817	676.4157653	405.6256418	33.26631745	42.69263525	254.2156259	66.28672435	43.97214762	42.90392857	107.2366689	41.47341521	284.0459183	81.0949148	1730.645156	306.764422	33.25031053	62.42743644	159.1912999	69.50052969	55.60617444	43.40033287
CLEC4C	19.11997916	32.01254666	97.30958167	20.85060862	16.67146446	19.15255485	62.17581558	19.38325736	15.11235356	18.45960424	19.80428959	20.64822845	25.01455061	126.1487412	129.7982912	23.7772317	18.24904766	24.69961011	4358.87918	25.19394261	23.28648823	20.98137309
NLRC4	33.25031053	80.94100791	116.4546858	42.70247734	32.68202712	34.68535282	59.73900827	41.62193635	32.46472926	37.37649755	946.4690073	37.29040627	1270.687099	501.6229818	536.0754138	38.1356352	31.70415055	62.56769674	44.63938161	110.6512521	57.11901805	35.09023508
ANLN	117.1037786	21.81503745	19.41209881	26.34359474	215.7473959	1311.962399	14.944773	2381.047721	406.1634832	45.17742328	31.85701387	287.5646643	24.13005517	22.94301073	23.52498578	20.55075055	69.9270847	19.57129566	21.83182069	22.34344835	19.6559301	653.7460104
ARL11	9.119344559	107.1610369	24.61612885	19.75216653	10.51551356	9.534005802	116.6619695	9.318044159	9.645196844	10.40037148	289.0124108	9.590555192	328.7177972	45.23886324	444.0050308	12.72127138	8.665101699	10.45605103	91.74930749	9.493491474	9.412105257	9.452798365
KCNH8	16.93355314	389.9201522	22.27254392	27.90859499	20.09578706	23.06250097	30.76013131	27.63105128	18.55120389	18.51646091	20.94894626	15.79768175	21.35446953	14.63724827	25.12626236	17.40211534	17.6316034	16.91730831	517.0608372	57.75083456	17.1744306	16.83088949
CLEC4D	23.71099904	40.33182851	72.60801309	34.78300197	28.62655839	35.35279887	27.6119453	45.20970059	28.0589433	26.06777198	54.93006142	27.80158938	736.3580302	26.49859569	911.9364742	30.81750185	26.2367545	30.26850468	26.20416903	34.79608528	30.17682823	32.29974462
SIGLEC10	43.57315389	439.9332592	134.0648216	68.9104821	48.6136242	63.07824853	4204.523373	130.2610179	52.40250959	43.37921762	90.36416505	55.3898275	489.7600586	463.4624909	879.9670354	57.72985479	49.68835617	37.84162617	76.96420787	61.85052448	41.85955166	67.9030915
CFAP161	13.8166526	16.04682178	16.36207211	19.57129566	20.20318736	15.00281312	13.62886587	30.12870951	15.28412633	15.66629473	21.76515804	15.40958264	17.75831334	13.12153744	24.84118478	14.8402688	16.50119696	15.24736076	18.37976492	633.7491782	18.71893151	15.13603188
CD300LF	36.09452444	94.98600997	529.7994342	115.6911743	43.41437322	34.29605049	5675.736077	72.46965447	40.25971348	35.29064263	2754.029713	39.84393124	3305.475329	1486.425935	2022.405782	62.40021784	47.60004093	71.67137996	205.3649783	86.13916634	83.68297974	50.57391435
TC2N	21.76515804	43.1547689	871.1317207	1227.28604	14.77421618	25.20667272	103.5259302	31.99975836	23.30041617	379.6903508	23.99440052	13.75858922	32.3627684	35.6519356	66.74263298	493.7865579	20.38178885	67.5898488	33.75343359	1198.046677	47.7085627	18.3230225
ANKLE1	28.62556518	55.83877938	46.2160104	58.90038593	26.56724186	36.20613116	70.40839645	2485.972095	39.042247	29.02371199	38.67689667	36.26248064	65.30308854	79.23402975	42.16619271	35.02337287	29.50950226	32.60312844	58.93264223	38.04519724	34.63241069	36.78208201
ATP6V0D2	21.12651185	22.74802459	24.47400566	21.48518941	19.75353749	19.54840909	29.40632112	21.43329812	16.34404712	34.51343107	646.0250187	25.81071905	22.65423887	23.30041617	26.08170209	22.02537024	18.14850974	20.78692963	22.2755442	18.72523405	21.8002486	18.9939298
SH2D1B	17.10286041	31.4361094	38.00715308	31.10083989	20.14182253	23.24239974	24.55707798	21.97090419	20.93390294	19.71887035	21.88194525	21.27510449	32.14634564	26.39809568	23.29757504	2655.596683	19.57129566	17.11902614	23.45278897	21.1208879	19.90454767	17.87485884
FCRL3	18.49544013	723.1051021	38.09430829	90.85901007	27.58350512	34.64897095	17.17065438	24.899165	24.68140221	19.89289143	28.94982328	24.38183032	31.98966588	20.16166668	24.85734689	414.7019185	26.17102951	18.81781751	26.83033366	30.85498794	18.9490431	26.93752083
CSF3R	119.487622	262.3963457	684.7980881	279.0073852	184.1289542	203.3399256	565.5079781	262.8401187	157.3134416	116.6634025	1391.243978	150.350628	3179.557082	605.1452796	10494.69111	180.4584583	151.8257879	139.9079415	263.0098628	294.6852314	173.0112941	196.36695
GPR82	24.95103292	35.92783033	25.78984687	27.60504409	28.5028388	34.34257631	879.4433339	21.06897687	25.15737043	27.10519947	53.51956893	24.7646235	43.6835143	32.56363125	38.76946859	76.0419999	24.66400966	23.45278897	42.6533348	28.86340937	22.71446053	30.14349275
FAM129C	55.47293609	2278.072297	80.54778491	68.04115721	67.69054968	64.2319659	71.23907789	60.99723271	58.70358218	59.23113196	63.01659153	58.41694381	71.26650494	76.34339819	71.92173166	56.028853	60.05172078	77.86143834	2290.834179	140.4114556	58.12181004	83.47387398
SLFN13	16.22214082	16.72892269	25.25024007	22.29172231	14.9861071	16.59400143	75.48402851	133.6922103	15.72397027	16.5515403	16.83080443	13.83820432	15.28888227	16.91730831	18.62660136	574.9941723	15.3769198	12.35998269	23.18860297	12.55899615	13.33106837	14.27137517
VNN3	14.89430602	13.98899803	17.14275325	14.46985258	23.73726851	21.37432599	24.89822872	13.72642942	17.26403643	21.04594769	15.02323442	18.41705997	24.84423063	21.19099678	659.1463366	17.07760502	15.53577365	13.20380154	14.9306046	15.13585245	15.51947613	19.15417013
EFCAB13	26.568689	125.3404346	35.36786652	35.1674543	29.3724513	22.34678123	29.86097633	22.6342356	17.68217362	22.00174181	29.90549949	19.75359137	25.27275452	32.19624222	22.76429931	30.6808793	23.90878044	20.96231287	18.66820099	1574.599562	22.87863382	26.32569221
PRF1	96.23312253	428.8463136	614.5370827	3738.069512	172.0039232	144.9453202	367.108227	262.638921	95.86852116	131.6426862	158.4577397	130.8471773	253.6271998	233.9156448	323.4356788	11541.06898	132.9086575	220.6062445	186.2485122	326.3832452	203.6538878	165.110022
HTRA4	50.54540519	105.5592224	37.5351954	42.55515631	22.17402571	44.62364292	39.30267728	30.56382971	29.68800278	23.07454748	1368.841407	26.35390022	33.89857668	29.66638302	28.1214439	54.5225846	23.76190116	19.47832699	47.88415102	64.07052586	21.78129144	32.35890231
ADGRG3	24.49684572	31.00975217	25.35730763	30.30335813	28.44153512	33.0827795	663.9579593	46.77120274	24.5966589	25.65936622	27.52133147	28.53246258	28.79054854	27.41589443	921.7743743	42.11231599	26.07119521	29.64754193	26.62219947	20.02648702	27.15280208	26.90121884
C11orf45	40.63527557	32.99088538	28.84107253	32.73578321	32.69875091	33.04406741	27.22783512	41.57626641	83.41960587	57.56458132	1082.216964	40.01423017	34.45812397	29.94268576	28.64795857	28.54241076	52.34094257	40.4726908	32.13544095	32.55284804	48.54018738	45.27730135
BEND2	21.32533702	25.97955016	26.40977895	28.51758413	22.13976819	31.52324841	21.99463209	42.99166494	23.05728552	27.07514287	24.39820397	23.38512086	32.44595224	34.02375687	42.11109588	29.62241775	21.30936947	23.3821838	33.75343359	3320.304707	22.08655912	25.03077038
P2RY10	27.76820119	1880.683738	666.0715782	1034.403317	29.59577031	33.49720684	1430.42204	54.45446989	28.01976507	43.15195413	42.70247734	26.68945412	69.73187823	200.6793884	557.1503941	258.9045563	28.23993857	40.82364614	104.5591527	121.6183246	33.25031053	35.08172126
NT5E	985.6236065	349.1428984	40.03582552	152.3394442	944.1359042	1215.393313	30.12690716	34.70975263	1802.091836	59.53830442	43.08124388	1845.435836	35.56888057	36.48635523	34.67328847	35.83660186	503.2219353	64.41081923	40.2167968	44.94488074	81.25935199	2896.008812
GPNMB	196.7517471	11.18598581	9.17166381	10.32983184	148.6622522	13.75956628	11.90427607	12.30211902	667.985511	1172.12691	2247.99688	253.7067178	13.47900212	10.14371415	10.03050194	9.059625488	56.92352469	117.3795168	10.14371415	9.575810445	170.9937756	23.87699925
SSH2	23.43585609	67.510315	59.23781119	51.91981757	29.51778976	26.09114212	764.2975418	25.72608732	30.6072071	33.85280796	37.66928692	23.61270317	164.0416292	36.32896167	1018.493121	111.2148631	21.93003043	28.34818481	55.17839686	40.88347844	27.08621172	26.39817659
ITGAL	24.49684572	1003.044477	4101.505934	5216.225085	26.58293056	31.69315831	2533.656317	64.17794778	21.12651185	31.10453595	963.9589253	25.58219855	3606.193618	2110.327552	1821.333204	8604.528249	26.60644686	67.13301565	1682.301947	143.5125249	46.91235728	28.74089291
HAVCR2	49.07951357	143.348184	139.3332651	184.9162359	41.86507347	56.69954233	114.8919799	179.1696553	52.34094257	52.66755603	1750.039393	38.22246921	697.4407363	339.8821576	93.07452262	950.3089188	60.47425291	53.51956893	82.42639018	64.56150873	59.09123422	57.60272053
ITPKB	24.01127699	73.79042304	218.8839935	66.90836695	18.15168754	26.91655867	1008.827424	65.20081488	23.1054695	32.02293424	51.25550456	27.81023109	52.83178167	46.94166588	164.7257577	195.2454349	26.70571642	38.58419715	48.85226799	41.56655697	39.72637063	22.76308881
STAP1	15.62524897	1763.204939	82.10488256	62.02720956	15.71155045	17.18058645	161.7143243	29.3649451	17.96470643	20.11063496	21.81503745	19.07520169	33.25278585	19.60487325	43.87843094	201.2923082	17.1744306	17.00027771	64.52156786	56.51101931	17.26403643	20.33616063
