Geneid	Chr	Start	End	Strand	Length	SYMBOL
ENSG00000000005	X;X;X;X;X;X;X	99839799;99840228;99848621;99849258;99852501;99854013;99854505	99840063;99840359;99849032;99849359;99852654;99854179;99854882	+;+;+;+;+;+;+	1610	TNMD
ENSG00000000938	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	27938575;27939730;27940941;27941361;27941945;27942200;27943368;27943704;27948070;27949553;27949895;27951600;27952557;27952971;27961576	27939633;27939861;27941094;27941437;27942124;27942355;27943517;27943807;27948168;27949655;27950573;27951662;27952751;27953080;27961788	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3474	FGR
ENSG00000000971	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	196621008;196642108;196642987;196645119;196646118;196654194;196658550;196659193;196670448;196682865;196684723;196694251;196695600;196695891;196697476;196705954;196706605;196709749;196712582;196714947;196716241	196621305;196642537;196643092;196645195;196648923;196654367;196658744;196659369;196670695;196683047;196684899;196694427;196695782;196696070;196697652;196706136;196706790;196711181;196712758;196715129;196716634	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8144	CFH
ENSG00000003137	2;2;2;2;2;2;2	72356367;72360152;72361890;72362273;72370133;72371118;72374760	72359748;72360436;72362045;72362548;72370213;72371544;72375167	-;-;-;-;-;-;-	5015	CYP26B1
ENSG00000004799	7;7;7;7;7;7;7;7;7	95212811;95215992;95216730;95218952;95221300;95221823;95223011;95224083;95225476	95215093;95216435;95217137;95219029;95221377;95222256;95223082;95224476;95225803	-;-;-;-;-;-;-;-;-	4519	PDK4
ENSG00000004939	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	42325753;42328527;42328787;42330486;42331864;42332575;42333041;42334561;42335027;42335354;42335781;42336531;42336865;42337177;42337772;42338003;42338943;42339395;42340004;42345422	42327906;42328700;42328956;42330739;42332030;42332664;42333214;42334912;42335175;42335548;42335991;42336712;42336949;42337300;42337907;42338183;42339004;42339434;42340302;42345509	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5287	SLC4A1
ENSG00000005020	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	26706681;26709710;26724355;26729904;26765047;26765542;26766301;26778414;26779506;26781961;26786186;26883648;26887615;26893756;26894404;26894737;26897070;26897539;26903982;26904461;26933458;27034774	26709275;26709811;26724467;26729981;26765184;26765605;26766625;26778497;26779583;26782094;26786305;26883756;26887687;26893781;26894509;26894770;26897297;26897778;26904362;26904732;26933592;27034858	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5520	SKAP2
ENSG00000005102	17;17;17	41717756;41720856;41738434	41719400;41721028;41739322	-;-;-	2707	MEOX1
ENSG00000005249	7;7;7;7;7;7;7;7;7;7;7;7;7	106685094;106710070;106710726;106732121;106762397;106768657;106781292;106786753;106791367;106793622;106797429;106797631;106799894	106685659;106710431;106710761;106732330;106762449;106768740;106781398;106786907;106791468;106793696;106797494;106797769;106802256	+;+;+;+;+;+;+;+;+;+;+;+;+	4318	PRKAR2B
ENSG00000005844	16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16	30483979;30485286;30485882;30486610;30486834;30490412;30490652;30492760;30495148;30495434;30500204;30500321;30505533;30506034;30507418;30507753;30510395;30515496;30516193;30516710;30518036;30520680;30521682;30522202;30522371;30525092;30528294;30528970;30529118;30529945;30531077;30532813	30484219;30485619;30485928;30486723;30486901;30490529;30490782;30492905;30495285;30495584;30500309;30500707;30505684;30506177;30507615;30507887;30510810;30515585;30516621;30516783;30518177;30520764;30521792;30522281;30522457;30525167;30528407;30529026;30529216;30530040;30531288;30534506	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6472	ITGAL
