Geneid	Chr	Start	End	Strand	Length	SYMBOL
ENSG00000003147	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	8152814;8167503;8178470;8178615;8181395;8181599;8183505;8196187;8197961;8257935;8258234;8260905;8263118;8267268;8268231;8272220;8275540;8276436;8301630;8301724;8302070	8153674;8167772;8178511;8178677;8181447;8181685;8183602;8197394;8198282;8258133;8258581;8261028;8263189;8267481;8268303;8272385;8275635;8276524;8301699;8301911;8302317	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4891	ICA1
ENSG00000004468	4;4;4;4;4;4;4;4	15779898;15818134;15826504;15835840;15839715;15841649;15842075;15850162	15780270;15818377;15827709;15835925;15839788;15841741;15842161;15854853	+;+;+;+;+;+;+;+	6855	CD38
ENSG00000005471	7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7	87031013;87031361;87032451;87035236;87037353;87038552;87041209;87042933;87046628;87047853;87049314;87051437;87052891;87056066;87060720;87068983;87069515;87072635;87072979;87074178;87076350;87079284;87080939;87081688;87083851;87092074;87101937;87104702;87104950;87105449;87106310;87106524;87108475	87031294;87031618;87032695;87035831;87037550;87038708;87041349;87043033;87046831;87047936;87049391;87051541;87053368;87056236;87060881;87069153;87069718;87072760;87073089;87074291;87076521;87079408;87081110;87082451;87083908;87092224;87101991;87104788;87105055;87105591;87106367;87106863;87109751	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7494	ABCB4
ENSG00000006074	17;17;17	34391640;34397734;34398311	34391769;34397918;34399392	+;+;+	1397	CCL18
ENSG00000007312	17;17;17;17;17;17	62006100;62006794;62007130;62007434;62008320;62009251	62006684;62006835;62007248;62007874;62008748;62009714	-;-;-;-;-;-	2080	CD79B
ENSG00000008438	19;19;19	46522411;46522784;46525993	46522677;46522905;46526323	-;-;-	720	PGLYRP1
ENSG00000008516	16;16;16;16;16;16;16;16;16;16;16	3096682;3097416;3100010;3100255;3105831;3106795;3107311;3107532;3108182;3108413;3108828	3097017;3097548;3100145;3100547;3106163;3107210;3107395;3107614;3108334;3108670;3110727	+;+;+;+;+;+;+;+;+;+;+	4126	MMP25
ENSG00000009709	1;1;1;1;1;1;1;1;1	18957500;18960797;18961605;18962731;19018248;19027147;19029588;19062126;19071308	18958182;18961032;18961734;18962865;19018447;19027312;19029790;19062632;19075360	+;+;+;+;+;+;+;+;+	6313	PAX7
ENSG00000010310	19;19;19;19;19;19;19;19;19;19;19;19;19	46171502;46172735;46173514;46174543;46175876;46177332;46177940;46178639;46180207;46180581;46180784;46181346;46184862	46171556;46172850;46173992;46174650;46176212;46177671;46178084;46178670;46180366;46180641;46181252;46181658;46186982	+;+;+;+;+;+;+;+;+;+;+;+;+	4736	GIPR
ENSG00000010610	12;12;12;12;12;12;12;12;12;12;12;12;12;12	6896024;6898638;6908046;6908491;6908704;6909238;6909473;6922718;6923220;6924897;6926296;6927587;6928013;6928465	6896171;6898828;6908240;6908530;6908789;6909353;6909637;6922768;6924236;6925569;6926496;6927708;6928080;6929974	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4583	CD4
ENSG00000011590	19;19;19;19;19;19;19;19	36195429;36203819;36205049;36205425;36206659;36206841;36207035;36207380	36195525;36204444;36205241;36206409;36206732;36206909;36207199;36207940	+;+;+;+;+;+;+;+	2770	ZBTB32
ENSG00000012124	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	35810164;35819567;35820069;35820270;35821476;35822809;35826939;35828658;35829071;35831784;35835634;35835954;35836505;35837054;35837469	35810335;35819753;35820228;35820831;35821563;35823993;35827244;35828924;35829334;35832868;35835828;35836327;35836623;35837138;35838258	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5839	CD22
ENSG00000012779	10;10;10;10;10;10;10;10;10;10;10;10;10;10	45869661;45877931;45891303;45907639;45919489;45920408;45923809;45924066;45935878;45936792;45938061;45938690;45939176;45940956	45869877;45878129;45891384;45907761;45919595;45920580;45923934;45924212;45936081;45937033;45938664;45938985;45939734;45941561	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3685	ALOX5
ENSG00000013725	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	60739115;60750097;60755380;60756744;60771883;60774046;60775032;60775823;60777044;60778542;60780895;60781391;60782893;60784375;60785761	60739386;60750242;60755499;60756864;60772082;60774114;60775382;60776317;60777346;60778607;60781035;60781486;60783307;60785485;60787849	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5995	CD6
ENSG00000019169	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	119699742;119702369;119726736;119727690;119729075;119731909;119732097;119735047;119735404;119738985;119739197;119739732;119739924;119748165;119749353;119750008;119750593;119751963	119699973;119702501;119726837;119727915;119729110;119732016;119732141;119735091;119735511;119739083;119739232;119739830;119739986;119748209;119749451;119750052;119750876;119752236	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2079	MARCO
ENSG00000023445	11;11;11;11;11;11;11;11;11;11;11;11	102188215;102190608;102191017;102192568;102196197;102197460;102198783;102199628;102201730;102206697;102207252;102207640	102188302;102190737;102191131;102196093;102196296;102197582;102198861;102199676;102201972;102206951;102207532;102210134	+;+;+;+;+;+;+;+;+;+;+;+	7484	BIRC3
ENSG00000035664	15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15	64199235;64201876;64202822;64204307;64208775;64214934;64216711;64218140;64221750;64221873;64222606;64231431;64263622;64275732;64283427;64321988;64332369;64338497;64355359;64356435;64364128	64201740;64201973;64204190;64204396;64208791;64215542;64217060;64218400;64221776;64221977;64222654;64231560;64263760;64275953;64283550;64322219;64332466;64338635;64355517;64356646;64364232	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7041	DAPK2
ENSG00000035720	4;4;4;4;4;4;4;4;4;4	68424446;68436802;68441103;68442921;68447023;68449292;68456602;68458978;68472014;68472912	68424647;68436873;68441216;68442977;68447189;68449420;68456671;68459074;68472616;68473055	+;+;+;+;+;+;+;+;+;+	1655	STAP1
ENSG00000041353	18;18;18;18;18;18;18;18	52385091;52385298;52495430;52544798;52546600;52551564;52555226;52556455	52385166;52385372;52495931;52544969;52546685;52551667;52555349;52562747	+;+;+;+;+;+;+;+	7432	RAB27B
ENSG00000042980	8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8	24151553;24157356;24166154;24167407;24167676;24168874;24170901;24177749;24178731;24178828;24180121;24181347;24182550;24184067;24187498;24188663;24190173;24192959;24196979;24198382;24200473;24201019;24204461;24207377;24208745;24209500;24211283;24211897	24151708;24157590;24166281;24167483;24167885;24168950;24171093;24177820;24178802;24178961;24180174;24181516;24182602;24184148;24187628;24188840;24190262;24193633;24197081;24199270;24200694;24201101;24204545;24207485;24209053;24209565;24211345;24216531	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9351	ADAM28
ENSG00000043039	11;11;11;11	129245835;129306069;129311976;129321031	129246117;129308216;129312814;129322171	+;+;+;+	4411	BARX2
ENSG00000048462	16;16;16;16	12058964;12060052;12060877;12061427	12059311;12060198;12061000;12061925	+;+;+;+	1118	TNFRSF17
ENSG00000049768	X;X;X;X;X;X;X;X;X;X;X;X	49106897;49109587;49110378;49111890;49112176;49113208;49113382;49113884;49114121;49114753;49115682;49121123	49108226;49109663;49110528;49111970;49112263;49113312;49113469;49114022;49114225;49114984;49115697;49121288	-;-;-;-;-;-;-;-;-;-;-;-	2578	FOXP3
ENSG00000050730	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	122052563;122057740;122058604;122059779;122062971;122063881;122068204;122071258;122075393;122078249;122079842;122082291;122085215;122103831;122137570;122137741;122148540	122053817;122057840;122059170;122059839;122063069;122063931;122068329;122071374;122075834;122078438;122079907;122082371;122085495;122103951;122137655;122137782;122148621	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3768	TNIP3
ENSG00000052749	10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10	99116115;99118294;99120303;99123611;99125647;99126203;99126499;99126798;99129182;99129924;99130212;99130473;99130680;99132493;99132803;99133332;99133587;99139050;99139385;99140556;99141143;99141472;99144923;99145652;99147754;99148246;99150180;99150496;99153441;99155975;99160062;99160850	99116953;99118767;99120375;99123660;99125990;99126378;99126666;99127133;99129339;99130031;99130317;99130553;99131923;99132560;99132957;99133494;99133651;99139171;99139527;99140670;99141240;99141583;99145014;99145750;99148136;99148381;99150296;99150602;99153517;99156058;99160291;99161127	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6801	RRP12
ENSG00000059728	2;2;2;2;2;2;2;2;2	70124820;70130313;70131386;70142203;70143253;70148868;70162483;70164151;70165229	70124874;70130377;70131557;70142535;70143578;70148897;70162597;70164526;70170077	+;+;+;+;+;+;+;+;+	6321	MXD1
ENSG00000061656	20;20;20;20;20;20;20;20;20;20	34203814;34204802;34205442;34206009;34206372;34206845;34207117;34207501;34208579;34208798	34204229;34205162;34205762;34206052;34206818;34206920;34207232;34207668;34208695;34208971	+;+;+;+;+;+;+;+;+;+	2240	SPAG4
ENSG00000064225	3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3	98451080;98451535;98452300;98475213;98482153;98487274;98489233;98489723;98489899;98491086;98491657;98492265;98492764;98501051;98501702;98502355;98503274;98503789;98506880;98507170;98510685;98512519;98520149;98539632	98451376;98451855;98452435;98475390;98482283;98487373;98489342;98489800;98490034;98491275;98491949;98492340;98492827;98501344;98501761;98502583;98503392;98503884;98507066;98507307;98510841;98514689;98520461;98540045	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6288	ST3GAL6
